ID,Start time,Completion time,Email,Name,Last modified time,What is your gender?,In which year you were born: ________ (e.g.1998),What is your current employment status? ,How frequently do you buy clothes before COVID-19 pandemic?,How frequently do you buy clothes after the COVID-19 pandemic?,"To what extent does your budget share on fast fashion items than before the COVID-19 pandemic? (e.g. 20% for increase 20%, -20% for decrease 20%)",Column,2,"Statement when deciding to purchase a new fast fashion item before the COVID-19 pandemic
  ",Please specify the reason,"Statement when deciding to purchase a new fast fashion item after the COVID-19 pandemic
  ",Please specify the reason2,3,4,5,6,High quality fabric     ,Fashionable design,Superior craftsmanship,  Easy to maintain, Use recycled and eco-friendly materials, Products come from a fair-traded company ,Price ,Suitable for various occasions,High quality fabric     2,Fashionable design2,Superior craftsmanship , Easy to maintain     , Use recycled and eco-friendly materials     , Products come from a fair-traded company 2, Price,Suitable for various occasions2,Describe any changes you've noticed in your lifestyle due to the COVID-19 pandemic and how these have affected your clothing purchases. , How do you deal with the old clothes or the clothes you don’t like before the COVID-19 pandemic,Please specify the measurement,"How do you deal with the old clothes or the clothes you don’t like after the COVID-19 pandemic
  
",Please specify the measurement2,7,8,9,10, Have you observed an increase in marketing related to sustainability from fast fashion brands since the COVID-19 pandemic? How does this influence your purchasing decisions?,How has your perception of sustainable fashion changed since the COVID-19 pandemic? What could be your motivation for a sustainable fashion purchase? Please describe in detail.,"Describe any significant changes you've noticed in the quality, sustainability, or marketing of fast fashion products since the COVID-19 pandemic began."
75,8/20/24 20:11:01,8/20/24 20:15:08,anonymous,,,Man,1995,Full-time employed,Annually,Annually,+10,Disagree,Disagree,When my clothes wear out,,When my clothes wear out,,Disagree,Strongly disagree,Agree,Disagree,More Important,Significant less important,More Important,Significant more important,Significant less important,Significant less important,Neutral,More Important,Significant more important,Neutral,More Important,Significant more important,Significant less important,Neutral,Neutral,More Important,I have not really noticed many changes to my preferences due to covid 19. It has thankfully left me mostly unaffected,I throw them aside.,,I throw them aside.,,,Neither agree nor disagree,Extremely not important,Strongly disagree,No change in marketing and no influence on my decisions,I have not cared before the covid pandemic and I still do not care now,"Since I do not shop too often for clothes and have never really bought too many fast fashion items, I do not really notice much"
76,8/20/24 20:07:41,8/20/24 20:15:39,anonymous,,,Woman,1975,Unemployed,Monthly ,Quarterly,-20%,Disagree,Agree,When I find a piece I like,,When my clothes wear out,,Strongly agree,Neither agree nor disagree,Agree,Agree,less important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,More Important,More Important,Neutral,More Important,More Important,I have been shopping online more than in store especially for stores like JCPenney's since the pandemic started. It is good to catch clearance deals after COVID happened vs going in the store and finding more expensive items. I like the convenience of receiving my items at home as well. Cost is a major consideration. Places like Costco in person are a good deal since COVID and they also offer good deals online such as buy 5 get 20 dollars off etc.,I donate them.,,I donate them.,,,Disagree,Somewhat important,Agree,Somewhat increased and somewhat influenced my decisions,It is becoming more relevant nowadays to see clothing listed as sustainable etc since COVID and I am all for it as long as the cost is reasonable.,I have noticed a trend toward more sustainability and people shopping more at thrift stores to buy affordable things. It is harder to get our money to stretch since COVID. Good deals are always my priority with clothing.
77,8/20/24 20:07:40,8/20/24 20:15:45,anonymous,,,Man,2001,Full-time employed,Quarterly,Every two month,20% for increase 20%,Neither agree nor disagree,Neither agree nor disagree,When I find a piece I like,,When I am bored with my current clothes,,Agree,Agree,Agree,Agree,More Important,More Important,Neutral,More Important,Neutral,Neutral,More Important,More Important,More Important,More Important,More Important,Neutral,More Important,Neutral,More Important,Neutral,I enjoy shopping online now so I buy a lot of clothes that I see online.,I reuse them after renovation.,,I donate them.,,,Neither agree nor disagree,Somewhat important,Agree,Somewhat increased and somewhat influenced my decisions,I learnt more about sustainability and how to take better care of our environment during the COVID-19 pandemic so I have high motivation for a sustainable fashion purchase.,Sustainability is a trending topic in the world so a lot of fashion products focus on sustainability.
78,8/20/24 20:07:26,8/20/24 20:15:47,anonymous,,,Man,1992,Full-time employed,Every two month,Every two month,-50,Strongly agree,Agree,When I am bored with my current clothes,,When I find a piece I like,,Neither agree nor disagree,Disagree,Agree,Agree,less important,More Important,less important,less important,less important,less important,More Important,More Important,Significant more important,More Important,More Important,Significant more important,Neutral,Neutral,less important,More Important," I have tried to live a more minimalist lifestyle. As a result, I try to buy classic pieces of clothing rather than trendy pieces to maximize my wardrobe. ",I donate them.,,I donate them.,,,Disagree,Neutral,Agree,Somewhat increased and somewhat influenced my decisions,"In my opinion, sustainable fashion is made of fabrics that has been or can be recycled. Oftentimes these materials are of better quality and more preferable. Knowing that a fabric is of higher quality will encourage me more to purchase. ",I am noticing more and more targeted ads from fast fashion brands on social media. 
79,8/20/24 20:07:45,8/20/24 20:16:05,anonymous,,,Man,1985,Full-time employed,Every two month,Quarterly,-15,Strongly agree,Strongly agree,When I find a piece I like,,When my clothes wear out,,Neither agree nor disagree,Agree,Strongly agree,Agree,More Important,Neutral,Significant more important,More Important,Significant less important,Neutral,Significant more important,More Important,Significant more important,less important,Significant more important,Neutral,Significant less important,Significant less important,Significant more important,Neutral,"I have found that I am buying less clothing, but when I do buy something I want to make sure its of higher quality than I used to buy. So I am buying less, but what I do buy it is of higher quality.",I have them in my closet but never use them.,,I donate them.,,,Strongly disagree,Extremely not important,Disagree,I have not noticed any changes,"It really has not changed. It was not something I really cared too much in the past, nor do I now.",I have started hearing more about the waste of fat fashion and how its not good for the environment.
80,8/20/24 20:11:43,8/20/24 20:16:36,anonymous,,,Man,1981,Full-time employed,Quarterly,Quarterly,Unchanged,Neither agree nor disagree,Disagree,When my clothes wear out,,When my clothes wear out,,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,More Important,Significant more important,More Important,More Important,Neutral,More Important,Significant more important,Significant more important,More Important,Significant more important,More Important,More Important,Neutral,More Important,Significant more important,Significant more important,There's been no change in my shopping habits related to COVID-19.,I gave them to someone I know,,I donate them.,,,Disagree,Neutral,Disagree,I have not noticed any changes,My perception of sustainable fashion has not changed post COVID-19. My motivation for a sustainable fashion purchase would be whether or not it was fashionable and appealing.,"Other than substantial increases in price, I've noticed no change in quality, sustainability or marketing of fast fashion products post COVID-19"
81,8/20/24 20:12:30,8/20/24 20:16:56,anonymous,,,Man,1984,Full-time employed,Monthly ,Monthly ,25,Strongly agree,Strongly agree,When I find a piece I like,,When I find a piece I like,,Strongly agree,Strongly disagree,Strongly agree,Agree,Significant more important,Significant more important,Significant more important,Significant more important,Significant less important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant more important,Significant less important,Significant more important,Significant more important,Significant more important,I've been more watchful as to how much I spend on clothing post pandemic. I usually look for deals or discounts before I purchase items.,I continue to wear them ,,I continue to wear them,,,Neither agree nor disagree,Extremely not important,Strongly disagree,No change in marketing and no influence on my decisions,My perception has not changed.,I've noticed more commercialization of products not just on tv but on social media as well.
82,8/20/24 20:11:53,8/20/24 20:17:03,anonymous,,,Woman,1997,Unemployed,Annually,Annually,0,Neither agree nor disagree,Neither agree nor disagree,When my clothes wear out,,When my clothes wear out,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Significant more important,Significant more important,Neutral,Neutral,Significant more important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,i dont have any changes,I continue to wear them ,,I continue to wear them,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,I have not noticed any changes,i dont have any changes,i dont have any changes
83,8/20/24 20:12:53,8/20/24 20:17:21,anonymous,,,Man,1962,Full-time employed,Annually,Annually,0,Disagree,Neither agree nor disagree,When my clothes wear out,,When my clothes wear out,,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,I'm working from home due to the pandemic so clothes are not as critical as when I was working in the office.,I have them in my closet but never use them.,,I donate them.,,,Disagree,Somewhat important,Neither agree nor disagree,No change in marketing and no influence on my decisions,I think close that are manufactured locally or don't use slave labor in 3rd World countries would be preferable.,I haven't really noticed any changes in quality since the pandemic began.
84,8/20/24 20:11:26,8/20/24 20:17:31,anonymous,,,Woman,1983,Homemaker,Quarterly,Quarterly,-10,Agree,Strongly agree,When my clothes wear out,,When my clothes wear out,,Strongly agree,Disagree,Agree,Strongly agree,Neutral,Neutral,More Important,More Important,Neutral,More Important,Significant more important,More Important,Neutral,Neutral,Neutral,More Important,Neutral,Neutral,Significant more important,Neutral,Essentials are so much more expensive. We are spending a fortune just on food and toiletries. We no longer have a monthly surplus. We are just surviving. ,I donate them.,,I continue to wear them,,,Disagree,Neutral,Disagree,Somewhat increased and somewhat influenced my decisions,"I think sustainability is great, but having food is more important than fashion, so I have shifted towards cheaper retailers. I almost always bought second hand clothes prior.",Quality has gone down in fast fashion. Marketing has gone up
85,8/20/24 20:10:01,8/20/24 20:18:34,anonymous,,,Woman,2001, Self-employed,Every two month,Every two month,-40%,Neither agree nor disagree,Disagree,When I find a piece I like,,When I find a piece I like,,Agree,Neither agree nor disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,I've spent a lot more time inside and I feel like when I go out in public there's still some kind of lingering sad feeling in the air.,I donate them.,,I donate them.,,,Disagree,Neutral,Disagree,No change in marketing and no influence on my decisions,I think there's been more awareness online about buying sustainably. I don't really prioritize it but it makes me feel good when I know something has been produced ethically.,"I've noticed that cheap Chinese brands like Shein have exploded in the years since COVID-19, and it feels like everyone just buys cheap fast fashion from overseas instead of buying from American brands, even if the pricing is the same."
86,8/20/24 20:12:10,8/20/24 20:18:42,anonymous,,,Man,1982,Full-time employed,Weekly,Monthly ,50,Disagree,Agree,When I find a piece I like,,When I am bored with my current clothes,,Agree,Agree,Strongly agree,Strongly agree,Neutral,More Important,More Important,Significant more important,Neutral,less important,Significant more important,More Important,less important,More Important,Neutral,More Important,less important,less important,Significant more important,More Important,I am alot more careful in what I buy as inflation has made prices even on clothing ridiculous.,I donate them.,,I donate them.,,,Disagree,Somewhat not important,Disagree,No change in marketing and no influence on my decisions,Perception hasnt really changed. I think of many of these companies do it for attention and then realize its not selling too late.,Fast fashion is still killing the market for any small business Eco friendly or not.
87,8/20/24 20:07:38,8/20/24 20:19:48,anonymous,,,Man,1959,Retired ,Quarterly,Quarterly,10%,Neither agree nor disagree,Neither agree nor disagree,When I find a piece I like,,When I find a piece I like,,Agree,Disagree,Disagree,Agree,More Important,Neutral,More Important,More Important,less important,less important,More Important,More Important,More Important,Neutral,More Important,More Important,Significant less important,Significant less important,Significant more important,More Important,"I travel less and make more of all my purchases online, including clothing purchases.",I continue to wear them ,,I continue to wear them,,,Disagree,Extremely not important,Disagree,No change in marketing and no influence on my decisions,"My fashion perceptions have not changed. My fashion motivations are simple -does it look good, and will it wear well.","There has been some decline in quality and marketing during the pandemic, but things seemed to have recovered.rec"
88,8/20/24 20:13:00,8/20/24 20:20:28,anonymous,,,Woman,1992,Full-time employed,Monthly ,Monthly ,0,Strongly agree,Agree,When my clothes wear out,,When I find a piece I like,,Agree,Strongly disagree,Strongly agree,Strongly agree,More Important,less important,More Important,Significant more important,Neutral,Neutral,More Important,Significant more important,More Important,less important,More Important,Significant more important,Neutral,Neutral,More Important,Significant more important,"I have a hybrid work arrangement and my workplace transitioned to more casual dress, so I do not buy any formal work wear anumore, and I buy fewer clothes overall.",I have them in my closet but never use them.,,I donate them.,,,Disagree,Somewhat important,Neither agree nor disagree,I have not noticed any changes,"I think companies are realizing sustainability focus has a positive correlation with supply chain resilience, and that is why they are changing their practices.","Much stronger social media advertising, influencers, and use of AI to generate engagement."
89,8/20/24 20:09:23,8/20/24 20:21:24,anonymous,,,Woman,1995,Homemaker,Quarterly,Every two month,-50%,Agree,Agree,When I find a piece I like,,When my clothes wear out,,Agree,Agree,Agree,Agree,less important,More Important,Neutral,Neutral,less important,less important,less important,Neutral,More Important,Neutral,More Important,More Important,More Important,More Important,More Important,More Important,"The biggest change is taking advantage of curbside pick up. It's been so helpful, and I'm really glad that it came out of COVID. I've also worked to control my impulse buying, which has affected my clothing shopping. ",I donate them.,,I donate them.,,,Neither agree nor disagree,Somewhat important,Agree,I have not noticed any changes,"Overall, I think my perception of trying to be more environmentally conscious has increased since the pandemic. I wouldn't say that it's my main goal, but I do go a little more out of my way to purchase something that is more sustainable. ",I think the only changes I've seen since the pandemic is the shift of retailers doing the majority of their business online. 
90,8/20/24 20:08:33,8/20/24 20:21:53,anonymous,,,Woman,1997,Part-time employed,Monthly ,Every two month,-25%,Agree,Strongly agree,When new trendy clothes releasing,,When my clothes wear out,,Strongly agree,Strongly disagree,Disagree,Agree,Neutral,Significant more important,More Important,Neutral,less important,Neutral,More Important,Significant more important,Significant more important,Neutral,More Important,More Important,Significant more important,Neutral,Neutral,More Important,"Since the pandemic, I have been making more frequent online purchases and going out much less. Thesw changes have reduced the frequency of my in-store purchases.",I gave them to someone I know,,I donate them.,,,Agree,Somewhat important,Strongly agree,Somewhat increased and somewhat influenced my decisions,"I always consider the quality and suitability of clothing for my activities before purchasing. Most importantly, I prioritize eco-friendly and comfortable options.",I guess people are more attention to sustainability and safety. I'm not so sure
91,8/20/24 20:15:16,8/20/24 20:21:55,anonymous,,,Woman,1997,Full-time employed,Quarterly,Every two month,20% decrease,Agree,Agree,When my clothes wear out,,When I find a piece I like,,Neither agree nor disagree,Agree,Agree,Disagree,More Important,More Important,More Important,More Important,More Important,More Important,More Important,More Important,More Important,More Important,More Important,More Important,More Important,More Important,More Important,More Important,Planning ahead of things i want to do,I donate them.,,I donate them.,,,Agree,Extremely important,Strongly agree,Somewhat increased and somewhat influenced my decisions,It changed a little because of my sense of fashion,I feel the quality is great
92,8/20/24 20:13:29,8/20/24 20:23:03,anonymous,,,Woman,1963,Retired ,Monthly ,Weekly,20,Neither agree nor disagree,Agree,When I am bored with my current clothes,,When I find a piece I like,,Disagree,Disagree,Agree,Agree,More Important,Neutral,More Important,More Important,Neutral,Neutral,More Important,More Important,More Important,Neutral,More Important,More Important,Neutral,Neutral,More Important,More Important,"I found myself splurging on more high ticket items than before - things I had always wanted, but maybe put off .  For instance, instead of say a Coach crossbody, I bought a Gucci purce -AND- Gucci boots.  Before Covid, I was more frugal and probably bought more reasonably priced basics.",I donate them.,,I donate them.,,,Disagree,Neutral,Disagree,Somewhat increased and somewhat influenced my decisions,"To me sustainable fashion relates to recycling materials, such as jackets made out of water bottles.  There are also knitwear made from recycled woolens - quite beautiful.  And I believe used clothing that are resold are also sustainable.","I think I have seen fewer tv commercials for H&M,, Zara, and Express.  I have not noticed any change in quality - these were never really my go to's."
93,8/20/24 20:13:00,8/20/24 20:23:50,anonymous,,,Man,1983,Full-time employed,Annually,Annually,-90%,Agree,Disagree,When my clothes wear out,,When my clothes wear out,,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,More Important,More Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,More Important,Neutral,No real change affecting my clothing purchases.,I continue to wear them ,,I continue to wear them,,,Neither agree nor disagree,Neutral,Neither agree nor disagree,No change in marketing and no influence on my decisions,No change in perception.,No change noticed after COVID 19.
94,8/20/24 20:13:34,8/20/24 20:24:05,anonymous,,,Woman,1962, Self-employed,Quarterly,Annually,-20% ,Agree,Neither agree nor disagree,When I find a piece I like,,When I find a piece I like,,Agree,Strongly disagree,Neither agree nor disagree,Agree,More Important,Neutral,Neutral,More Important,Neutral,Neutral,More Important,More Important,More Important,Neutral,More Important,More Important,Neutral,Neutral,More Important,More Important,I have put  on weight and it is hard to get the extra weight off. ,I have them in my closet but never use them.,,I have them in my closet but never use them.,,,Neither agree nor disagree,Somewhat important,Agree,No change in marketing and no influence on my decisions,I bought organic cotton panties from Costco during COVID. I love them and they are lasting a long time. ,I feel they are not of good quality. 
95,8/20/24 20:16:02,8/20/24 20:24:09,anonymous,,,Woman,1984,Full-time employed,Annually,Annually,15,Agree,Strongly agree,When my clothes wear out,,When my clothes wear out,,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Significant more important,Neutral,Significant more important,More Important,Neutral,Neutral,More Important,More Important,Significant more important,Significant more important,Significant more important,More Important,More Important,More Important,Significant more important,Significant more important,"I prefer clothes that are high quality, durable material, and can be styled in many ways. ",I continue to wear them ,,I continue to wear them,,,Agree,Extremely not important,Agree,No change in marketing and no influence on my decisions,"I learn that the industry will jump on the sustainability bandwagon but the real test is will they continue to do so. I feel that companies will adopt these values and ideas for the appearance of marketability but for it to be a core and practice business principal, I would need more time to observe these companies. ","Quality really declines, and the prices are going up. "
96,8/20/24 20:07:38,8/20/24 20:25:27,anonymous,,,Woman,2001,Part-time employed,Monthly ,Monthly ,15% for increase 15%,Disagree,Agree,When I find a piece I like,,When I find a piece I like,,Agree,Agree,Agree,Strongly agree,More Important,More Important,Neutral,More Important,More Important,More Important,Significant more important,More Important,More Important,More Important,Neutral,Significant more important,Significant more important,More Important,Significant more important,Significant more important,I noticed I prefer indoors these days and this has increased my interest in online shopping and purchases of clothing,I gave them to someone I know,,I throw them aside.,,,Neither agree nor disagree,Somewhat important,Neither agree nor disagree,Somewhat increased and somewhat influenced my decisions,I now tend to appreciate and consider sustainable fashion since the pandemic,I have noticed that much attention is now paid to sustainability or the use of eco-friendly materials in the production of fashion products
97,8/20/24 20:21:44,8/20/24 20:25:36,anonymous,,,Woman,2002,Students,Monthly ,Every two month,-20%,Agree,Strongly agree,When I am bored with my current clothes,,When my clothes wear out,,Agree,Disagree,Neither agree nor disagree,Agree,More Important,less important,less important,Neutral,less important,less important,Neutral,More Important,More Important,less important,Neutral,More Important,More Important,More Important,More Important,More Important,Occasions matter more,I have them in my closet but never use them.,,I continue to wear them,,,Neither agree nor disagree,Somewhat important,Disagree,Somewhat increased and somewhat influenced my decisions,Environment sustainability seems more important ,Marketing more widely with more expenses to encourage puechases
98,8/20/24 20:07:42,8/20/24 20:25:58,anonymous,,,Woman,1997,Part-time employed,Monthly ,Monthly ,10% for decrease 10%,Agree,Agree,When I am bored with my current clothes,,When my clothes wear out,,Agree,Disagree,Agree,Strongly agree,Significant more important,More Important,Significant more important,Significant more important,Neutral,More Important,Significant more important,More Important,Significant more important,Neutral,More Important,More Important,Significant more important,Significant more important,Significant more important,Significant more important,"Since the COVID-19 pandemic, I've shifted to buying fewer, higher-quality clothes. With more time at home working remotely, I now focus on durable, timeless pieces rather than trendy items. This change has made my wardrobe more curated and purposeful, emphasizing comfort and longevity.",I throw them aside.,,I throw them aside.,,,Agree,Somewhat important,Strongly agree,Somewhat increased and somewhat influenced my decisions,"The COVID-19 pandemic really opened my eyes to how my fashion choices affect the planet. With all the extra time at home, I’ve come to realize how important sustainable fashion is. It’s like my new superpower to fight waste and support ethical practices in the fashion world.
Now, I’m all about buying from brands that use eco-friendly materials and treat their workers right. It feels great to know that my wardrobe can help the environment and promote good vibes in the industry. Plus, it’s a nice feeling to be a bit of a fashion hero while doing my part!","Since the pandemic, fast fashion seems to have dipped in quality, with cheaper materials and less durability. Some brands are pushing “sustainable” lines, but it often feels like a marketing gimmick rather than real change. Overall, the focus on low cost and quick turnover is still very strong."
99,8/20/24 20:12:46,8/20/24 20:29:08,anonymous,,,Woman,2002,Full-time employed,Quarterly,Monthly ,20,Neither agree nor disagree,Disagree,When I find a piece I like,,When I find a piece I like,,Neither agree nor disagree,Disagree,Agree,Disagree,More Important,More Important,Neutral,More Important,More Important,Neutral,Significant more important,less important,More Important,More Important,Neutral,More Important,Neutral,less important,Significant more important,less important,I've become more carefree with my money and like to spend more,I have them in my closet but never use them.,,I have them in my closet but never use them.,,,Disagree,Neutral,Disagree,No change in marketing and no influence on my decisions,I don't think it's changed much,I think the quality has gone down
100,8/20/24 20:12:20,8/20/24 20:47:24,anonymous,,,Woman,2000,Students,Monthly ,Quarterly,decrease 60%,Strongly agree,Agree,When new trendy clothes releasing,,Others,When I decide one look for travelling which makes me feel I need to buy new clothes,Neither agree nor disagree,Agree,Disagree,Disagree,less important,More Important,Significant more important,less important,More Important,Neutral,Neutral,Neutral,More Important,Significant more important,Significant more important,Neutral,More Important,less important,Neutral,Neutral,Before purchasing I start to think how frequently I will wear these clothes and think more about balance between price and quality.,I have them in my closet but never use them.,,I continue to wear them,,,Agree,Extremely important,Neither agree nor disagree,Greatly increased and positively influenced my decisions,"0%
The attention of the issue of global warming
Before the COVID-19, I have followed some fashion youtubers who support sustainable fashion. They showed the environmental issues due to too much clothes wasted every year which touched me, and they also shared eco-friend fashion brands with very good design, which made me think that I could consider more about them when purchasing cuz eco-friend fashion brands could meet my fashion needs as well.",I pay more attention on the quality because I decrease my frequency of purchasing clothes which means I need to wear clothes for longer time and that increases the importance of quality
101,8/20/24 23:32:26,8/20/24 23:39:03,anonymous,,,Woman,2000,Unemployed,Every two month,Every two month,20%,Disagree,Disagree,When I find a piece I like,,When I find a piece I like,,Disagree,Disagree,Disagree,Disagree,More Important,More Important,Neutral,More Important,less important,More Important,More Important,More Important,More Important,More Important,Neutral,More Important,less important,More Important,More Important,More Important,no change no change ,I continue to wear them ,,I continue to wear them,,,Disagree,Somewhat not important,Disagree,No change in marketing and no influence on my decisions,No change………… no change ,No change no change 
103,8/21/24 1:25:37,8/21/24 1:36:54,anonymous,,,Man,2003,Students,Quarterly,Quarterly,10%,Agree,Neither agree nor disagree,When I find a piece I like,,When I find a piece I like,,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neutral,More Important,More Important,Neutral,Neutral,More Important,Neutral,More Important,More Important,More Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,人们更倾向于线上购物。对我而言网购的频率变高,I donate them.,,I donate them.,,,Agree,Somewhat important,Neither agree nor disagree,Somewhat increased and somewhat influenced my decisions,更加绿色，更加环保，从设计、到生产与消费的整个过程都要注重可持续。购买动机是赞同其时尚理念以及注重其设计生产过程中的环保化可持续化,在质量上感觉略有下降，在可持续方面则是越来越完善
105,8/21/24 3:32:33,8/21/24 3:47:44,anonymous,,,Woman,2000,Students,Quarterly,Monthly ,20%,Disagree,Neither agree nor disagree,When I find a piece I like,,When I find a piece I like,,Agree,Disagree,Agree,Agree,More Important,More Important,Neutral,Neutral,More Important,Neutral,Neutral,less important,More Important,More Important,Neutral,Neutral,More Important,Neutral,Neutral,less important,"The Covid 19 pandemic hardly changed my clothing purchases, clothing purchases are more about personal preference.",I donate them.,,I donate them.,,,Agree,Somewhat important,Neither agree nor disagree,I have not noticed any changes,I purchase sustainable fashion for less pollution ,Vintage fashion started to be a trend
106,8/21/24 8:53:06,8/21/24 9:05:10,anonymous,,,Man,1988,Part-time employed,Quarterly,Every two month,increase 15%,Agree,Strongly agree,When I am bored with my current clothes,,When new trendy clothes releasing,,Strongly agree,Agree,Strongly agree,Agree,Significant less important,Significant less important,less important,Significant less important,Neutral,Neutral,Significant less important,Neutral,Significant less important,Neutral,Significant less important,Neutral,Significant less important,Neutral,Significant less important,Significant less important," pandemic has made me more mindful of my body, and I've been buying clothing that accentuates my positive features and makes me feel confident.",I donate them.,,I gave them to someone I know,,,Strongly agree,Somewhat important,Agree,No change in marketing and no influence on my decisions, pandemic made me realize how interconnected we all are. Sustainable fashion is a small but significant way to contribute to a better world.,"Since the pandemic hit, I've noticed fast fashion brands focusing more on online sustainability initiatives, like recycling programs that you can sign up for directly on their websites."
107,8/21/24 8:53:08,8/21/24 9:05:14,anonymous,,,Man,1982,Full-time employed,Every two month,Monthly ,increase 20%,Strongly agree,Agree,When I find a piece I like,,When I am bored with my current clothes,,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,less important,less important,Significant less important,less important,Significant less important,less important,Neutral,less important,less important,Significant less important,less important,Significant less important,less important,less important,less important,less important,"I've been cooking more adventurous dishes, which has inspired me to buy colorful aprons that match my culinary creations.
",I have them in my closet but never use them.,,I have them in my closet but never use them.,,,Agree,Extremely important,Neither agree nor disagree,Somewhat increased and somewhat influenced my decisions,"As I spent more time at home, I started appreciating the beauty of natural materials. Sustainable fashion often features these, appealing to my senses.
","One big change is the surge in eco-friendly materials like organic cotton and recycled polyester in fast fashion collections, reflecting a shift towards sustainability."
108,8/21/24 8:53:06,8/21/24 9:05:19,anonymous,,,Man,1981,Part-time employed,Quarterly,Every two month,for decrease 10%,Agree,Strongly agree,When I am bored with my current clothes,,When new trendy clothes releasing,,Strongly agree,Agree,Strongly agree,Agree,Significant less important,Significant less important,less important,Significant less important,Neutral,Neutral,Significant less important,Neutral,Significant less important,Neutral,Significant less important,Neutral,Significant less important,Neutral,Significant less important,Significant less important," pandemic has taught me the importance of self-care, so I've been buying luxurious bathrobes and slippers for ultimate relaxation.",I donate them.,,I gave them to someone I know,,,Strongly agree,Somewhat important,Agree,No change in marketing and no influence on my decisions,grown tired of disposable fashion. Sustainable fashion offers timeless pieces that I can cherish for years to come.,"Fast fashion marketing has definitely shifted gears, with more virtual runway shows and Instagram live streams taking over from crowded physical events."
109,8/21/24 8:53:12,8/21/24 9:05:26,anonymous,,,Man,1986,Part-time employed,Quarterly,Every two month,increase 30%,Agree,Strongly agree,When I am bored with my current clothes,,When new trendy clothes releasing,,Strongly agree,Agree,Strongly agree,Agree,Significant less important,Significant less important,less important,Significant less important,Neutral,Neutral,Significant less important,Neutral,Significant less important,Neutral,Significant less important,Neutral,Significant less important,Neutral,Significant less important,Significant less important,"With fewer social gatherings, I've been investing in timeless pieces like leather jackets and boots that I can wear for years to come.
",I donate them.,,I gave them to someone I know,,,Strongly agree,Somewhat important,Agree,No change in marketing and no influence on my decisions,pandemic taught me the importance of community. Buying from sustainable brands that prioritize fair trade supports a global community I care about.,"I've been impressed by the increase in ethical sourcing claims by fast fashion brands, though it's hard to verify them all without more transparency."
110,8/21/24 8:53:07,8/21/24 9:05:39,anonymous,,,Woman,1986,Full-time employed,Every two month,Monthly ,increase 15%,Strongly agree,Agree,When I find a piece I like,,When I am bored with my current clothes,,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,less important,less important,Significant less important,less important,Significant less important,less important,Neutral,less important,less important,Significant less important,less important,Significant less important,less important,less important,less important,less important,"I've been exploring my creative side through DIY projects, leading me to purchase fabric markers and craft supplies to personalize my clothes.
",I have them in my closet but never use them.,,I have them in my closet but never use them.,,,Agree,Extremely important,Neither agree nor disagree,Somewhat increased and somewhat influenced my decisions,"I've been inspired by the resilience of small, sustainable businesses during the pandemic. Supporting them feels like a win-win situation.
","The pandemic seems to have accelerated the trend of capsule collections, where fast fashion brands offer fewer but more versatile pieces, promoting longevity over quantity."
111,8/21/24 8:53:07,8/21/24 9:05:45,anonymous,,,Man,1983,Part-time employed,Quarterly,Every two month,increase 10%,Agree,Strongly agree,When I am bored with my current clothes,,When new trendy clothes releasing,,Strongly agree,Agree,Strongly agree,Agree,Significant less important,Significant less important,less important,Significant less important,Neutral,Neutral,Significant less important,Neutral,Significant less important,Neutral,Significant less important,Neutral,Significant less important,Neutral,Significant less important,Significant less important," pandemic made me cherish family time, so I've been buying matching pajamas and robes for cozy movie nights.",I donate them.,,I gave them to someone I know,,,Strongly agree,Somewhat important,Agree,No change in marketing and no influence on my decisions,"economic uncertainty made me more conscious of my spending. Sustainable fashion offers value for money, as well as peace of mind.","Quality control has become a hot topic, with customers sharing more about faulty stitching or poor materials online, forcing brands to respond quickly."
